Métrica del Sitio Web Personal - Inteligencia Artificial Generativa;;;;;;;
;;;;;;;
Autoevaluador:;;;;;;;
Url:;;;;;;;
Tecnología:;;;;;;;
Fecha:;;;;;;;
;;;;;;;
;;Calificación Final Inteligencia Artificial ;6,11;;;;
;;;;;;;
Ponderación;;Promedios;Valor Ponderado;;IA generativa utilizada;PROMPTS;OBSERVACIONES
20%;1. Usabilidad;5,67;1,13;;;;
;1.1 Comprensibilidad global del sitio Web: mapa, migas, etc.;8;;;ChatGPT 5.1 Plus, Thinking (Extendido);"Eres un auditor de usabilidad y experiencia de usuario. Tu trabajo es auditar ciertos aspectos de usabilidad, ergonomía y accesibilidad de una página web dada.

Para cada aspecto requerido, debes dar una puntuación entre 0 y 10, ambos inclusive

Ahora deberás evaluar el siguiente sitio web:
https://uo287529.github.io/MIW---UX/index.html

Aspectos a evaluar:

1.1 Comprensibilidad global del sitio Web: mapa, migas, etc.";La justificación está muy bien fundada, y mucho detalle y ejemplos
;1.2 Mecanismos de ayuda y retroalimentación en línea;4;;;ChatGPT 5.1 Plus, Thinking (Extendido);"Eres un auditor de usabilidad y experiencia de usuario. Tu trabajo es auditar ciertos aspectos de usabilidad, ergonomía y accesibilidad de una página web dada.

Para cada aspecto requerido, debes dar una puntuación entre 0 y 10, ambos inclusive

Ahora deberás evaluar el siguiente sitio web:
https://uo287529.github.io/MIW---UX/index.html

Aspectos a evaluar:

1.2 Mecanismos de ayuda y retroalimentación en línea
";Errores muy bien expuestos
;1.3 Aspectos estéticos de las interfaces;7;;;ChatGPT 5.1 Plus, Thinking (Extendido);"Eres un auditor de usabilidad y experiencia de usuario. Tu trabajo es auditar ciertos aspectos de usabilidad, ergonomía y accesibilidad de una página web dada.

Para cada aspecto requerido, debes dar una puntuación entre 0 y 10, ambos inclusive

Ahora deberás evaluar el siguiente sitio web:
https://uo287529.github.io/MIW---UX/index.html

Aspectos a evaluar:

1.3 Aspectos estéticos de las interfaces";Resalta diseño muy plano, poca personalidad y formularios básicos
;1.4 Adaptabilidad a dispositivos móviles medido con herramientas;8;;;ChatGPT 5.1 Plus, Thinking (Extendido);"Eres un auditor de usabilidad y experiencia de usuario. Tu trabajo es auditar ciertos aspectos de usabilidad, ergonomía y accesibilidad de una página web dada.

Para cada aspecto requerido, debes dar una puntuación entre 0 y 10, ambos inclusive

Ahora deberás evaluar el siguiente sitio web:
https://uo287529.github.io/MIW---UX/index.html

Aspectos a evaluar:

1.4 Adaptabilidad a dispositivos móviles medido con herramientas";Valoración hecha solamente con etiquetas html ya que no puede lanzar herramientas
;1.5 Internacionalización: Usa varios idiomas;1;;;ChatGPT 5.1 Plus, Thinking (Extendido);"Eres un auditor de usabilidad y experiencia de usuario. Tu trabajo es auditar ciertos aspectos de usabilidad, ergonomía y accesibilidad de una página web dada.

Para cada aspecto requerido, debes dar una puntuación entre 0 y 10, ambos inclusive

Ahora deberás evaluar el siguiente sitio web:
https://uo287529.github.io/MIW---UX/index.html

Aspectos a evaluar:

1.5 Internacionalización: Usa varios idiomas";Inexistente, solo para 1 idioma, por eso el punto
;1.6 Enlaces a redes sociales;6;;;ChatGPT 5.1 Plus, Thinking (Extendido);"Eres un auditor de usabilidad y experiencia de usuario. Tu trabajo es auditar ciertos aspectos de usabilidad, ergonomía y accesibilidad de una página web dada.

Para cada aspecto requerido, debes dar una puntuación entre 0 y 10, ambos inclusive

Ahora deberás evaluar el siguiente sitio web:
https://uo287529.github.io/MIW---UX/index.html

Aspectos a evaluar:

1.6 Enlaces a redes sociales";No hay enlaces a redes típicas, solo github. Tampoco hay un bloque de redes sociales claro
15%;2. Accesibilidad;8,00;1,20;;;;
